"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"10";"2º SUPLENTE";"COLIGACAO";"70";"AVANTE";"AVANTE";"170000050461";"O PERNAMBUCO QUE VOCÊ QUER";"PROS / AVANTE / PDT";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"3";"GOVERNADOR";"PARTIDO ISOLADO";"29";"PCO";"PARTIDO DA CAUSA OPERÁRIA";"170000050637";"#NULO#";"PCO";"IN";"INDEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"10";"2º SUPLENTE";"COLIGACAO";"14";"PTB";"PARTIDO TRABALHISTA BRASILEIRO";"170000050149";"PERNAMBUCO VAI MUDAR";"PTB / PPS / PSDB / DEM / PSC / PRB / PV / PODE / PRTB / PSL / PHS / DC / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"10";"2º SUPLENTE";"COLIGACAO";"35";"PMB";"PARTIDO DA MULHER BRASILEIRA";"170000050149";"PERNAMBUCO VAI MUDAR";"PTB / PPS / PSDB / DEM / PSC / PRB / PV / PODE / PRTB / PSL / PHS / DC / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"7";"DEPUTADO ESTADUAL";"COLIGACAO";"28";"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"170000050149";"PERNAMBUCO VAI MUDAR";"PTB / PPS / PSDB / DEM / PSC / PRB / PV / PODE / PRTB / PSL / PHS / DC / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"5";"SENADOR";"COLIGACAO";"43";"PV";"PARTIDO VERDE";"170000050149";"PERNAMBUCO VAI MUDAR";"PTB / PPS / PSDB / DEM / PSC / PRB / PV / PODE / PRTB / PSL / PHS / DC / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"6";"DEPUTADO FEDERAL";"COLIGACAO";"43";"PV";"PARTIDO VERDE";"170000050149";"PERNAMBUCO VAI MUDAR";"PTB / PPS / PSDB / DEM / PSC / PRB / PV / PODE / PRTB / PSL / PHS / DC / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"5";"SENADOR";"PARTIDO ISOLADO";"18";"REDE";"REDE SUSTENTABILIDADE";"170000050757";"#NULO#";"REDE";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"10";"2º SUPLENTE";"COLIGACAO";"11";"PP";"PROGRESSISTAS";"170000050130";"FRENTE POPULAR DE PERNAMBUCO";"PSB / PC do B / PT / MDB / PP / PR / PMN / PTC / PRP / PATRIOTA / PSD / PPL / SOLIDARIEDADE";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"4";"VICE-GOVERNADOR";"COLIGACAO";"50";"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";"170000050194";"A Esperança Não Tem Medo";"PSOL / PCB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"29";"PCO";"PARTIDO DA CAUSA OPERÁRIA";"170000050637";"#NULO#";"PCO";"IN";"INDEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PE";"PE";"PERNAMBUCO";"9";"1º SUPLENTE";"COLIGACAO";"70";"AVANTE";"AVANTE";"170000050461";"O PERNAMBUCO QUE VOCÊ QUER";"PROS / AVANTE / PDT";"D";"DEFERIDO"
