"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"30/01/2022";"10:01:52";"2018";"1";"ELEIÇÃO SUPLEMENTAR";"1";"431";"Senador";"26/04/2020";"MT";"MT";"MATO GROSSO";"10";"2º SUPLENTE";"PARTIDO ISOLADO";"51";"PATRIOTA";"PATRIOTA";"110000051431";"#NULO#";"PATRIOTA";"A";"AGUARDANDO JULGAMENTO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MT";"MT";"MATO GROSSO";"6";"DEPUTADO FEDERAL";"PARTIDO ISOLADO";"29";"PCO";"PARTIDO DA CAUSA OPERÁRIA";"110000050506";"#NULO#";"PCO";"IN";"INDEFERIDO"
"30/01/2022";"10:01:52";"2018";"1";"ELEIÇÃO SUPLEMENTAR";"1";"431";"Senador";"26/04/2020";"MT";"MT";"MATO GROSSO";"9";"1º SUPLENTE";"COLIGACAO";"18";"REDE";"REDE SUSTENTABILIDADE";"110000051433";"NOSSA UNIÃO É COM  O POVO";"PROS / REDE";"A";"AGUARDANDO JULGAMENTO"
"30/01/2022";"10:01:52";"2018";"1";"ELEIÇÃO SUPLEMENTAR";"1";"431";"Senador";"26/04/2020";"MT";"MT";"MATO GROSSO";"9";"1º SUPLENTE";"PARTIDO ISOLADO";"19";"PODE";"PODEMOS";"110000051442";"#NULO#";"PODE";"A";"AGUARDANDO JULGAMENTO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MT";"MT";"MATO GROSSO";"10";"2º SUPLENTE";"COLIGACAO";"18";"REDE";"REDE SUSTENTABILIDADE";"110000050583";"Redefinindo Mato Grosso";"REDE / PPL";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"1";"ELEIÇÃO SUPLEMENTAR";"1";"438";"Eleição Suplementar Senador - MT";"15/11/2020";"MT";"MT";"MATO GROSSO";"10";"2º SUPLENTE";"COLIGACAO";"13";"PT";"PARTIDO DOS TRABALHADORES";"280000132011";"DEFESA DA VIDA, EDUCAÇÃO, TERRA, TRABALHO E CIDADANIA";"PC do B / PT";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"1";"ELEIÇÃO SUPLEMENTAR";"1";"438";"Eleição Suplementar Senador - MT";"15/11/2020";"MT";"MT";"MATO GROSSO";"5";"SENADOR";"COLIGACAO";"43";"PV";"PARTIDO VERDE";"280000123679";"FAZER MAIS POR MATO GROSSO";"PSD / MDB / PTB / PP / PV";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MT";"MT";"MATO GROSSO";"5";"SENADOR";"COLIGACAO";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"110000050263";"A Força da União";"PR / PV / PRB / PT / PTB / PODE / PMN / PC do B / PROS / PP";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"1";"ELEIÇÃO SUPLEMENTAR";"1";"438";"Eleição Suplementar Senador - MT";"15/11/2020";"MT";"MT";"MATO GROSSO";"9";"1º SUPLENTE";"PARTIDO ISOLADO";"30";"NOVO";"PARTIDO NOVO";"280000057125";"#NULO#";"NOVO";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MT";"MT";"MATO GROSSO";"10";"2º SUPLENTE";"COLIGACAO";"31";"PHS";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"110000050344";"PRA MUDAR MATO GROSSO";"DEM / PSD / PDT / PSC / MDB / PMB / PHS / PTC";"D";"DEFERIDO"
